No	Question
39	신한유니버설종신보험 중도인출 가능금액기준과  추후 중도인출시 사망보험금이 줄어드는지 문의드립니다.
40	(355간편)신한통합건강보장보험 원(ONE) 상품 가입 후 보험가입금액을 감액할 경우 감액 후의 해약환급금 산출식 및 근거를 알려주세요.
41	(355간편)신한통합건강보장보험 원(ONE) 보험에 가입하면 일정조건 시 주계약 납입보험료가 면제되는 것으로 알고 있는데 주계약 납입면제 조건 및 그 내용에 대해서 알려주세요
42	신한라이프놀라운종신보험 생활자금지급기간 중 피보험자 사망시 생활자금 지급은 어떻게 되나요?
43	신한라이프놀라운종신보험을 해약하려고 합니다. 해지환급금이 적은 이유를 알 수 있을까요?
44	신한라이프놀라운종신보험 가입후 암보장개시일 전에 암이 발생하였습니다. 계약을 취소하지 않고, 보험료를 계속 납입하고 있는 상태입니다. 암보장을 다시 받을 수 있는 기간이 있나요?
45	신한라이프놀라운종신보험 가입후 고객센터에서 계약이 실효되었다고 연락 받았습니다.  그래서 보장을 받으려면 부활을 해야 한다고 하는 데 부활을 하려면 어떻게 해야 합니까?
46	신한유니버설종신보험  20년 납 상품으로 현재 234회 납입하여,  6번만 더 납입하면 납입이 완료되나, 월대체로 유지된 기간이 있어 책임준비금에서 월대체 되지 않을 경우 보험료 납입을 해야 할 수 있음을 안내했으나, 20년만 납입하면 된다고 설명 들었다며 항의가 심합니다. 납입이 완료되었는데, 계속 보험료를 내야한다니 근거가 무엇인가요?
47	신한라이프놀라운종신보험에 가입한 후 100일 지나서 유방암에 걸렸습니다. 보험금을 얼마나 받을 수 있나요?  약관에 납입면제가 있던데 납입면제가 가능한가요?
48	신한라이프놀라운종신보험 보험료 자동대출납입 제도에 대하여 설명해 주세요. 제한이 있나요?
49	신한큐브종합건강상해보험(무배당_해약환급금_미지급형) 유지중인데 교통사고로 오른쪽 다리를 다쳤습니다.  장해급여금을 신청하려 하는 데 장해지급률 판단하는 기준을 알려 주세요.
50	신한진심을품은 변액유니버설종신보험에서 선택 가능한 펀드 중 배당성향이 높은 주식에 많이 투자되는 펀드를 알려주세요.
51	신한진심을품은 변액유니버설종신보험에서 사업비 이외에 기타 발생되는 비용이 무엇이 있나요?
52	2022년도 건강보험진료통계기준 백내장으로 입원치료 받은 사람중 인당 진료비는 얼마인지요?
53	2018년에서 2022년까지의 요양급여비용 증감추이를 알려줘. 그래프로 알려주면 더 좋겠어.
54	신한 SOL라이프 앱에서 한도증액 하는 방법 알려줘.
55	신한 SOL라이프 앱에서 제지급시 금액별 인증 방법 알려줘.
56	계약자 사망 시 계약자 변경 하는 방법 알려줘.
57	계약자 변경으로 내방할 경우 지참 해야 할 서류 알려줘.
58	법인계약건일 경우 자동이체 변경(해지)가 가능해?
59	미성년자인 계약자가 제지급 요청 시 필요 서류가 뭐야?
60	해약방어 제외 대상 알려줘.
61	청약철회 가능기간 알려줘.
62	신한금융플러스 영업지원파트장 이름 알려줘.
63	VOC 접수시 유의사항 알려줘.
64	FS증액의 증액 가능 한도를 알려줘.

