No.	Question	Response	Context	정답	문서명	answer_judgment	answer_match_percent	context_judgment	context_match_percent	final_judgment	final_match_percent	Result	reason
11	신한유니버설종신보험 현재 납입하는 보험료가 부담됩니다.  보험료를 적게 낼 수 있는 방법이 있나요?	STATUS: insufficient\n\n제공된 근거만으로 보면, **현재 납입 중인 기본보험료를 낮추는 방법**이 명확하게 확인되지는 않습니다.\n\n확인되는 내용은 다음뿐입니다.\n\n- **기본보험료**는 계약 체결 시점에 피보험자의 성별, 나이, 납입기간 등에 따라 산출됩니다.  \n  - 근거: `029-사업방법서__무_신한유니버설종신보험_080312.md` / `다.사망보험금##`\n- **추가납입보험료**는 기본보험료 외에 보험기간 중 추가로 납입하는 보험료입니다. 즉, 추가납입은 선택적으로 더 내는 보험료로 보입니다.  \n  - 근거: 같은 문서 / `다.사망보험금##`\n- 보험료 납입경과기간 **2년(24회 납입) 이후**에는 해약환급금에서 **월대체보험료를 충당**하는 내용이 있으나, 이것이 기본보험료를 감액하거나 납입액 자체를 줄이는 제도라고까지는 근거상 단정할 수 없습니다.  \n  - 근거: 같은 문서 / `다.사망보험금##`\n\n따라서, 이 근거만으로는  \n- **기본보험료 감액**,  \n- **납입기간 변경**,  \n- **보험가입금액 감액**,  \n- **특약 해지로 보험료 절감**  \n같은 방법이 가능한지 확인할 수 없습니다.\n\n약관이나 사업방법서의 **감액, 감액완납, 특약 해지, 보험료 납입유예/중지** 관련 조항이 추가로 필요합니다.	029-사업방법서__무_신한유니버설종신보험_080312.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md	납입하는 보험료를 줄이는 방법은 약관의 규정에 따라 1. 보험가입금액을 감액 또는 기본보험료의 감액 과 2. 유니버설종신보험의 특성에 따른 자유납을 활용하는 방법이 있습니다.\n1. 보험가입금액을 감액하는 경우, 감액 시점 이후부터 감액된 가입금액에 따른 낮아진 보험료를 납입기간 동안 납입할 수 있습니다.\n2. 유니버설종신보험은 의무납입기간 이후에는 납입하는 보험료 수준을 자유롭게 정하여 납입하거나 월대체를 활용하여 보험료를 납입하지 아니할 수 있습니다. 단, 이러한 경우 계약자적립액이 감소하게 되어 계약이 해지될 수 있습니다.	약관_(무)신한유니버설종신보험_080312.pdf	부분일치	60	부분일치	50	부분일치	58	부분일치 58%	Response는 보험료를 줄이는 방법에 대해 일부 정보를 제공했으나, 핵심적인 방법인 '보험가입금액 감액'과 '자유납'에 대한 구체적인 설명이 누락되었습니다. 또한, Context에 기대 문서명이 포함되지 않아 관련성이 낮습니다.
12	신한유니버설종신보험 가입후 월대체로 계약을 유지하는데 보장은 종신까지 받을 수 있나요?	신한유니버설종신보험은 약관상 **2년(24회 납입) 이후에는 매월 계약해당일에 해약환급금(보험계약대출원리금 차감 후)에서 월대체보험료를 공제**하여 계약을 유지할 수 있습니다.  \n근거: **제12조 「월대체보험료 공제」** (문서: `035-약관_(무)신한유니버설종신보험_080312.pdf-1.md`, `034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md`)\n\n다만, **해약환급금에서 월대체보험료를 더 이상 충당할 수 없게 되면 납입최고(독촉) 후 계약이 해지될 수 있습니다.**  \n근거: **제13조 「보험료의 납입연체시 납입최고(독촉)와 계약의 해지」** (문서: `034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md`)\n\n따라서 질문하신 내용에 대해,  \n**월대체로 계속 유지되는 동안에는 보장을 받을 수 있지만, 적립금/해약환급금이 부족해 월대체보험료 충당이 안 되면 종신까지 자동으로 보장된다고 단정할 수는 없습니다.**	038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 029-사업방법서__무_신한유니버설종신보험_080312.md	유니버설종신보험에서 보험료를 납입하지 않고 월대체를 하게 되면 회사는 계약자적립액에서 월대체공제 금액을 매월 공제합니다. 따라서 계약자적립액은 매월 감소할 수 있습니다. 이러한 경우 장래 계약자적립액이 소진되어 약관의 규정에 따라 계약이 해지될 수 있습니다.	약관_(무)신한유니버설종신보험_080312.pdf	일치	100	일치	100	일치	100	일치	Response는 월대체보험료 공제와 계약 유지 조건, 해지 가능성에 대해 정확히 설명했으며, 관련 약관 문서도 기대 문서명과 일치합니다.
13	신한유니버설종신보험 주계약보험료를 처음에는 20만원 내다가 나중에 더 적게 낼 수 있나요?	STATUS: insufficient\n\n제공된 약관 근거만으로는 **주계약보험료를 처음 20만원으로 내다가 이후 임의로 더 적은 금액으로 낮출 수 있는지**를 명확히 확인할 수 없습니다.\n\n근거:\n- **신한유니버설종신보험 약관 / 제6조 【계약내용의 변경】**에는 계약자가 회사의 승낙을 얻어 **보험료의 수금방법** 등을 변경할 수 있다고만 되어 있습니다.  \n  → 이는 **보험료 금액 자체를 줄일 수 있다**는 내용으로는 확인되지 않습니다.\n- 다른 문서에는 **보험가입금액을 감액하면 기본보험료도 동일 비율로 변경**된다는 내용이 있으나, 이는 **다른 상품(무배당파워변액유니버설종신보험)** 기준입니다.  \n  → 질문하신 **신한유니버설종신보험**에 그대로 적용된다고 단정할 수 없습니다.\n\n즉, 현재 근거로는  \n- **보험가입금액 감액에 따라 보험료가 줄어드는지**,  \n- 또는 **주계약보험료 자체를 나중에 낮출 수 있는지**  \n를 확답할 수 없습니다.	035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 029-사업방법서__무_신한유니버설종신보험_080312.md	계약자는 의무납입기간 이내에는 기본보험료(20만원)을 납입하여야 하며, 의무납입기간 이후부터는 해약환급금(보험계약대출 원리금을 차감한 금액 기준)에서 월대체보험료를 충당할 수 있을 경우 기본보험료를 납입하지 않거나 자유롭게 납입할 수 있습니다.	약관_(무)신한유니버설종신보험_080312.pdf	불일치	0	일치	100	불일치	20	불일치	Response는 질문에 대한 명확한 답변을 제공하지 못했으며, 약관의 내용을 근거로도 확답을 내리지 못했습니다. 그러나 Context는 기대 문서명을 포함하고 있습니다.
14	신한유니버설종신보험에서 사망시 사망보험금은 어떻게 산출됩니까?	STATUS: insufficient\n\n제공된 근거만으로 보면, **신한유니버설종신보험의 사망보험금은 `기본보험금액 + 변동보험금액의 합계액`이며, `기본보험금액을 최저한도`로 한다**고 확인됩니다.  \n- 근거: `029-사업방법서__무_신한유니버설종신보험_080312.md` > `다.사망보험금##`\n\n또한 **사망보장특약이 부가된 경우에는 주계약 사망보험금액과 사망보장특약의 사망보험금액을 합산한 금액을 기준**으로 한다고 되어 있습니다.  \n- 근거: `034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md` > `제15조 【 주계약이 사망보장특약이 부가되어 있는 경우의 특칙 】`\n\n다만, **변동보험금액이 구체적으로 어떻게 계산되는지**는 제공된 context에 없어, 최종 산출식을 완전하게 설명하기는 어렵습니다.	034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 029-사업방법서__무_신한유니버설종신보험_080312.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 012-300233_계약관계자변경.docx-1.md	신한유니버설종신보험의 사망보험금은 사망한 때의 아래 2개의 각각 산출된 금액을 더하여 지급합니다.\n 사망보험금 : 기본보험금액 + 변동보험금액\n 주) 기본보험금액은 기본사망보험금과 이니 납입한 보험료(단, 특약보험료는 제외) 그리고 주계약적립금의 110% 금액 중 가장 근 금액을 말합니다.\n      변동보험금액은 계약자적립금과 예정최저적립금과의 차이에 의하여 증감되는 보험금액으로 유효한 보험계약에 대하여 매월 계약해당일마다 계산하여 다음 월단위 계약해당일까지 1개월간 확정 적용합니다.	약관_(무)신한유니버설종신보험_080312.pdf	부분일치	70	부분일치	80	부분일치	74	부분일치 74%	Response는 사망보험금 산출 방식의 일부를 설명했으나, 변동보험금액의 구체적 계산 방식과 기본보험금액의 세부 조건이 누락되었습니다. Context는 관련 문서를 포함했으나 기대 문서명이 명확히 포함되지 않았습니다.
15	신한유니버설종신보험 해약환급금이 처음 가입시 제공한 해약환급금 예시표에 비하여 크게 떨어집니다.  이유가 무엇인가요?	가입 시 받은 **해약환급금 예시표보다 실제 해약환급금이 크게 낮아질 수 있는 이유**로, 약관상 확인되는 것은 **해약환급금 계산에 적용되는 공시이율이 변동될 수 있기 때문**입니다.\n\n근거:\n- **`034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md` / `제21조 【 해약환급금 】`**\n  - 해약환급금은 **보험료 및 책임준비금 산출방법서에 따라 계산**\n  - **공시이율이 변경되면 변경된 날부터 변경된 공시이율을 기준으로 적용**\n  - 공시이율은 **연복리 3.75% 최저보증**\n- **`035-약관_(무)신한유니버설종신보험_080312.pdf-1.md` / `제21조 【 해약환급금 】`**\n  - 동일하게 **공시이율 변경 시 변경된 이율 적용**\n  - 공시이율은 **연복리 4.0% 최저보증**\n- **`034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md` / `제9조 【 해약환급금 】`**\n  - 공시이율 변경 시 **변경된 날부터 변경된 공시이율 적용**\n  - **최저보증이율은 10년 이내 3%, 10년 초과 2.0%**\n\n즉, 예시표는 당시 기준 이율로 제공되었더라도, 이후 **공시이율이 내려가면 실제 해약환급금도 예시보다 낮아질 수 있습니다.**\n\n다만, **“왜 크게 떨어졌는지”의 구체적인 개별 계약 사유**(예: 실제 적용 공시이율 변동 내역, 납입 상태 등)는 제공된 약관 내용만으로는 확인할 수 없습니다.\n\nSTATUS: insufficient	005-005.약관_신한라이프놀라운종신보험_무배당_ 해약환급금 일부지급형__20240401_v0.5_중복삭제_맞춤형약관제작.md, 004-.주계약약관__355간편_신한통합건강보장보험원_ONE__무배당_ 해약환급금 미지급형__20240101_v0.2.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md	계약자는 계약일 이후 계약이 소멸하기 전에 언제든지 해약을 할 수 있으며, 회사는 이 때 보험료 및 책임준비금 산출방법서에 따라 계산된 해약환급금을 지급합니다. 해약환급금은 납입한 보험료 중 월 공제액을 제외한 저축보험료(=적립부분순보험료)를 이 상품의 공시이율을 적용하여 계약자적립액을 산출합니다. 이 때 공시이율이 변경될 경우에는 변경된 날부터 변경된 공시이율을 기준으로 적용합니다.\n가입당시 제공한 해약환급금 예시표는 가입당시 적용중이던 공시이율이 장래 변동이 없는 가정하에 산출한 안내표이며, 실제의 해약환급금은 약관의 규정에 따라 공시이율이 변경된 경우 변경된 공시이율을 적용하므로 실제의 해약환급금은 제공된 예시표와 다를 수 있습니다.	약관_(무)신한유니버설종신보험_080312.pdf	일치	100	부분일치	80	일치	96	일치	답변은 정답과 핵심 내용이 일치하며, 공시이율 변동에 따른 해약환급금 차이를 명확히 설명했습니다. 그러나 Context에 기대 문서명이 일부 누락되었습니다.
16	신한유니버설종신보험에 가입하여 유지중입니다. 감액 이후에 이미납입한 보험료는 어떻게 산출하나요?	신한유니버설종신보험 약관의 **「감액이후의 이미 납입한보험료」** 항목에 따르면, 감액 이후 이미 납입한 보험료는 아래와 같이 산출됩니다.\n\n**산식**  \n감액 이후 이미 납입한 보험료 = **감액직전 이미 납입한 보험료 × (감액후 계약자적립금 / 감액전 계약자적립금)**\n\n근거:\n- `035-약관_(무)신한유니버설종신보험_080312.pdf-1.md` > `감액이후의 「 이미 납입한보험료 」`\n- `034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md` > `감액이후의 「 이미 납입한보험료 」`\n\n추가로 약관에는,  \n**“감액직전 이미 납입한 보험료”**는 감액 전 중도인출이나 이전 감액이 있었던 경우, 해당 약관 기준에 따라 다시 계산된 금액을 말한다고 되어 있습니다.\n\n참고로 유사 예시 문서에서는:\n- 감액전 이미 납입한 보험료 200만원\n- 감액전 계약자적립금 150만원\n- 감액후 계약자적립금 100만원\n\n이면,\n\n**감액후 이미 납입한 보험료 = 200만원 × 100만원 / 150만원 = 약 133만원** 입니다.	035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md, 024-무배당종신보험표준형_산출방법서_060401.doc-1.md, 029-사업방법서__무_신한유니버설종신보험_080312.md	③ 제2항에 따라 보험가입금액을 감액한 경우 기본보험금액의 계산시 적용하는 “이미 납입한 보험료”는 다음과 같습니다.\n감액이후의 「이미 납입한보험료」\n= 감액직전 이미 납입한 보험료 × 감액후 계약자적립금 / 감액전계약자적립금\n㈜「감액직전 이미 납입한 보험료」는 해당 감액전 중도인출 및 감액이 발생한 경우 제35조(계약자적립금의 인출) 제2항 및 상기 방법에 따라 계산된 이미 납입한 보험료를 말합니다.	약관_(무)신한유니버설종신보험_080312.pdf	일치	100	일치	100	일치	100	일치	Response는 정답의 핵심 내용을 정확히 포함하고 있으며, 산식과 예시를 통해 명확히 설명하였습니다. 또한, 실제 Context 문서 목록이 기대 문서명을 정확히 포함하고 있습니다.
17	신한유니버설종신보험 해약환급금 신청하여 환급금이 발생하였으나 아직 청구하지 않은 상황입니다. 일정기간이 지나서 청구하는 경우 지급이자는 어떻게 계산이 되나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md	해약환급금 지급사유가 발생한 날의 다음날부터 해약환급금 청구일까지의 기간에 따라\n1년이내 : 공시이율의 50%\n1년초과기간 : 1%\n연단리 복리리 일자계산하여 지급합니다.	약관_(무)신한유니버설종신보험_080312.pdf	불일치	0	불일치	0	불일치	0	불일치	응답이 질문에 대한 답변을 제공하지 못했으며, 관련 문서도 포함되지 않았습니다.
18	신한유니버설종신보험 보험료 의무 납입기간 경과 이후에도 보험료 선납이 가능한가요? 만약에 가능하다면 선납가능한 보험료와 선납시 적용되는 이율을 알려주세요.	STATUS: insufficient\n\n제공된 약관 근거(문서명: `034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md`, 위치: `제7조 【 특약 보험료의 납입 】`)에서는  \n- 특약 보험료는 주계약의 보험료 납입기간 중 주계약 보험료와 함께 납입해야 하고,\n- 주계약 보험료를 선납하는 경우에도 같다고만 되어 있습니다.\n\n하지만 질문하신\n1. 의무 납입기간 경과 이후에도 선납 가능한지,\n2. 선납 가능한 보험료의 범위,\n3. 선납 시 적용 이율\n\n에 대해서는 제공된 context에 직접적인 내용이 없습니다. 따라서 이 근거만으로는 확인할 수 없습니다.	031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md	선납보험료는 납입경과 기간 2년이내에 한하여 기본보험료(특약이 부과된 경우 특약보험료 포함)의 배수로 선납이 가능하며 최대 23개월분 까지  선납이 가능합니다.\n선납보험료는 보험료 납입일부터 이계약의 공시이율로 부리 적립하고 해당 월계약 해당일에 해약환급금에서 월대체 보험료를 공제합니다.	약관_(무)신한유니버설종신보험_다른 파일에 있는 내용일듯	불일치	0	부분일치	50	불일치	10	불일치	Response는 질문에 대한 답변을 제공하지 못했으며, context도 질문에 대한 핵심 정보를 포함하지 않았습니다.
19	연금보험 프리스타일에 가입하여 연금개시후 종신형 연금 보증지급기간 안에 피보험자가 사망하면 일시금 지급이 가능한가요?	가능합니다.\n\n근거:\n- **`009-300197_제지급_우편.docx-1.md` > `3) 연금 지급 중 연금 일시금 신청 시 구비서류`** 에서  \n  **종신연금형**의 처리기준을  \n  **“해지 불가 (잔여 보증지급분 선지급 후 계약유지)”**라고 명시하고 있습니다.\n- 따라서 **연금개시 후 종신형 연금의 보증지급기간 안에 피보험자가 사망한 경우**, 남은 **보증지급분을 일시금으로 선지급**하는 처리가 가능합니다.\n\n다만,\n- 같은 문서에 **“장수축하금은 선지급 불가”**라고 되어 있어, 해당 항목은 일시금 선지급 대상이 아닙니다.	009-300197_제지급_우편.docx-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md	종신형 연금 지급개시후 보증지급기간(10회 15회 20회) 동안 연금액을 보증지급하며, 보증지급기간(10회 15회 20회) 안에 피보험자(보험대상자) 사망시에는 보증지급기간까지의 미지급된 연금액을 연금지급일에 지급하거나, 보증지급기간 중 잔여기간동안의 연금액을 선지급 할 수 있습니다	docs/약관_무배당연금보험프리스타일_20130401_v3.0.pdf.md	부분일치	85	부분일치	80	부분일치	84	부분일치 84%	Actual Response는 질문에 대해 '가능하다'고 명확히 답변했으나, 보증지급기간 중 잔여기간 동안의 연금액을 선지급할 수 있다는 구체적인 조건이 누락되었습니다. 또한, Context 문서 중 기대 문서명과 정확히 일치하는 문서가 포함되지 않았으나 유사 문서가 일부 포함되어 있습니다.
20	연금보험 프리스타일은 생존연금액 계산시 이율은 얼마인가요?	무배당 연금보험 프리스타일의 **생존연금액 계산 시 적용 이율**은 **매월 1일 회사가 정한 공시이율**입니다.\n\n근거:\n- **문서명**: `037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md`\n- **위치**: `제19조(공시이율의 적용 및 공시)`\n- **내용**: “이 보험의 책임준비금 및 **연금액 계산시 적용되는 이율은 매월 1일 회사가 정한 이 보험의 공시이율**로 합니다.”\n\n추가로, **최저보증이율**은 다음과 같습니다.\n- 가입 후 **10년 이하**: **연복리 2.5%**\n- 가입 후 **10년 초과**: **연복리 1%**	037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md, 033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md	생존연금의 계산은 “이 계약의 약관대출이율 - 1.5%”를 적용하여 계산되므로 이 계약의 약관 대출이율이 변경되면 생존연금액도 변경됩니다.	docs/약관_무배당연금보험프리스타일_20130401_v3.0.pdf.md	불일치	0	부분일치	80	불일치	16	불일치	Response는 공시이율을 언급했으나, 정답은 약관대출이율 - 1.5%를 생존연금 계산에 적용한다고 명시하고 있어 핵심 내용이 다릅니다. Context는 관련 문서를 포함하지만 일부 기대 문서명이 누락되었습니다.
21	연금보험 프리스타일에서 말하는 추가납입은 무엇을 의미하고 언제부터 추가납입이 가능하고 보험기간은 어떻게 되나요?	STATUS: insufficient\n\n제공된 근거만으로 확인되는 내용은 다음뿐입니다.\n\n- **추가납입의 의미**\n  - 프리스타일 연금보험에서 기존의 **추가납입특약이 2005.7.1.부터 증액보험료로 변경**되었다고 되어 있습니다.\n  - 또한 **2011.4.1. 이후 계약은 기본보험료 증액이 불가하고, 월정기추가납입으로 변경되며 수시추가납입이 가능**하다고 나와 있습니다.\n  - 다만, “추가납입”의 정의를 문서가 직접 설명하고 있지는 않습니다.\n\n- **언제부터 추가납입 가능 여부**\n  - 2011.4.1. 이후 계약은 **월정기추가납입으로 변경되고 수시추가납입 가능**이라고 확인됩니다.\n  - 한편 2011.4.1. 이전 가입 프리스타일 연금보험에 대해서는 **계약일로부터 증액은 1년 경과된 유지계약부터 가능**하다고 되어 있습니다.\n  - 다만 이것이 질문하신 “추가납입 가능 시점”과 동일 의미인지 문맥상 완전히 단정하기는 어렵습니다.\n\n- **보험기간**\n  - 제공된 근거에는 **보험기간에 대한 정보가 없습니다.**\n\n근거:\n- `011-300227_계약사항 변경 업무기준 요약표.docx-1.md` / `② 세부업무기준`	011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md	①이 특약의 보험료는 주계약의 보험계약일부터 1년 이상 경과한 경우에 계약자의 신청에 의하여 주계약의 보험료 납입기간동안 주계약 보험료에 추가하여 계속 납입하기로 한 증액된 부분의 보험료(이하 “증액보험료”라 합니다)를 말합니다.\n① 이 특약의 보험기간은 주계약의 제1보험기간과 동일합니다.\n②이 특약의 보험료는 주계약의 보험료 납입기간 중에 주계약의 보험료와 함께 납입하여야 하며 주계약의 보험료를 선납하는 경우에도 또한 같습니다.	docs/약관_무배당연금보험프리스타일_20130401_v3.0.pdf.md	부분일치	60	부분일치	80	부분일치	68	부분일치 68%	Response는 추가납입의 의미와 가능 시점에 대해 일부 정보를 제공했으나, 보험기간에 대한 정보는 제공하지 않았습니다. 또한, 추가납입의 정의와 조건에 대한 설명이 불완전합니다. Context는 기대 문서명을 일부 포함했으나, 핵심 문서가 명확히 포함되지 않았습니다.
22	무)파워변액유니버설종신보험에서 자산을 운용함에 있어 일반계정과 특별계정으로 나누어서 관리한다고 하는데, 무슨뜻인가요?	무)파워변액유니버설종신보험에서 말하는 뜻은, **보험료와 자산을 한 계정으로만 관리하지 않고 `일반계정`과 `특별계정`으로 구분해 따로 관리·회계처리한다**는 의미입니다.\n\n- **일반계정**: 계약자가 납입한 보험료를 회계처리하기 위한 계정입니다. 회사는 **특별계정과 구분하여 재산을 관리하고 회계처리**합니다.  \n  - 근거: `038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md` / `6. 변액보험 관련 용어`, `일반계정`\n\n- **특별계정**: **계약자적립금의 전부 또는 일부를 다른 재산과 구별하여 운용하기 위한 계정**입니다. 변액보험처럼 상품의 운용방식이 일반상품과 크게 달라서, **다른 보험상품과 구분해 별도로 관리·운용**하도록 한 것입니다. 목적은 **계정 상호간 계약자 보호**입니다.  \n  - 근거: 같은 문서 / `특별계정`\n\n또한 변액보험은 **납입한 보험료의 일부로 자금을 조성해 특별계정으로 운영하고, 그 운용실적에 따라 투자이익이 배분되어 보험금이나 계약자적립금 등이 변동**할 수 있다고 되어 있습니다.  \n- 근거: 같은 문서 / `6. 변액보험 관련 용어`\n\n즉, 쉽게 말하면  \n**안정적으로 회계처리·관리하는 부분은 일반계정**,  \n**투자실적에 따라 적립금 등이 변동하는 부분은 특별계정**으로 나누어 관리한다는 뜻입니다.	038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md	①일반계정\n   보험업법에서 규정하고 있는 계약을 제외한 계약에서 계약자가 납입한 보험료를 회계 처리하기 위한 계정을 말하며, 회사는 특별계정과 \n   구분하여 자산을 관리하고 회계처리합니다.\n\n② 특별계정\n    준비금에 상당하는 자산의 전부 또는 일부를 기타자산과 구별하여 이용하기 위한 계정을 말합니다.	docs/무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf.md	부분일치	85	부분일치	80	부분일치	84	부분일치 84%	Response는 일반계정과 특별계정의 개념을 비교적 정확히 설명했으나, Standard Answer에 비해 일부 표현이 다소 부정확하거나 간략화되었습니다. 또한, Context 문서가 기대 문서명과 일부 일치하지만 완전히 동일하지는 않습니다.
23	무)파워변액유니버설종신보험 변액상품을 가입하였는데 펀드 설정이 귀찮습니다. 알아서 하는 방법은 없나요?	약관상으로는 **계약자가 펀드의 자산운용방법에 직접 관여할 수 없고**, 특별계정에서 분리 운용되며 운용실적이 계약자적립금에 반영되는 구조입니다.  \n다만, 질문하신 **“펀드 설정을 직접 하지 않고 회사가 알아서 운용해 주는 방법”**이 있는지는 제공된 근거만으로는 확인되지 않습니다.\n\n- 근거:\n  - **무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md / 제4관 특별계정에 관한 사항 / 제23조 [펀드의 운용 및 평가]**\n    - “변액보험의 펀드는 특별계정별로 … 독립적으로 운용”\n    - “계약자는 특별계정의 자산운용방법에 대해서는 일체의 관여를 할 수 없습니다.”\n  - **같은 문서 / 제22조 [계약자적립금의 계산]**\n    - 특별계정 운용실적이 계약자적립금에 반영됨\n\n**STATUS: insufficient**  \n제공된 context에는 자동 펀드배분, 디폴트 펀드, 회사 일임운용 가능 여부에 대한 조항이 없습니다.	038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 027-별첨1_약관 내용 중 법 관련 인용 조문_240610.pdf-1.md, 무배당파워변액유니버설종신보험_약관_100401_주계약_변경_new.md	(펀드자동재배분)\n펀드자동재배분이라함은 일정 주기마다 펀드별 계약자 적립금을 고객이 선택한 편입비율로 재배분하는 옵션을 말합니다.\n예를 들어 3개월 주기 펀드자동재배분, A펀드 50% + B펀드 50%선택한 경우에는 매3개월마다 계약자 적립금 총액을 기준으로 A펀드와 B펀드에 계약자 적립금을 50% : 50%의 비율로 각각 배분하게 됩니다.\n\n-> 질문에 대한 확대 답변 포함\n   (펀드의 선택 -> 펀드 재배분)	docs/무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf.md	부분일치	60	부분일치	50	부분일치	58	부분일치 58%	Response는 약관에 따라 계약자가 펀드 운용에 관여할 수 없음을 설명했으나, 펀드자동재배분 옵션에 대한 구체적 설명이 누락되었습니다. Context는 일부 관련 문서를 포함했으나 기대 문서명이 정확히 일치하지 않습니다.
