no	Question	Response	Context
11	신한유니버설종신보험 현재 납입하는 보험료가 부담됩니다.  보험료를 적게 낼 수 있는 방법이 있나요?	신한유니버설종신보험의 보험료를 적게 낼 수 있는 방법으로는 다음과 같은 옵션이 있습니다:  \n\n1. **보험가입금액 감액**: 계약자는 회사의 승낙을 얻어 보험가입금액을 감액할 수 있습니다. 이 경우 감액된 부분은 해지된 것으로 간주되며, 이에 따른 해약환급금이 지급될 수 있습니다. (출처: 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 제6조 【 계약내용의 변경 】)  \n\n2. **고액계약 할인**: 월납의 경우 주보험 보험가입금액이 3,000만 원 이상일 때 제2회 이후 기본보험료에 대해 보험료 할인이 적용됩니다. 할인율은 보험가입금액에 따라 1.0%에서 최대 2.5%까지 가능합니다. (출처: 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 13. 고액계약할인에 관한 사항)  \n\n이 외의 방법이나 추가적인 할인 조건은 제공된 문서에 명시되어 있지 않습니다.	029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md
12	신한유니버설종신보험 가입후 월대체로 계약을 유지하는데 보장은 종신까지 받을 수 있나요?	제공된 문서 내용에서는 신한유니버설종신보험의 월대체 계약 유지 시 보장이 종신까지 가능한지에 대한 명확한 정보가 포함되어 있지 않습니다. 추가적인 근거가 필요합니다.	035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
13	신한유니버설종신보험 주계약보험료를 처음에는 20만원 내다가 나중에 더 적게 낼 수 있나요?	신한유니버설종신보험의 경우, 보험료 납입경과기간 2년(24회 납입) 이후부터는 해약환급금에서 월대체보험료를 충당할 수 있을 경우 기본보험료를 납입하지 않아도 됩니다. 또한, 2년 이후부터는 보험료를 납입 한도 내에서 자유롭게 납입할 수 있습니다. (출처: 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 7. 월납계약의 보험료 납입에 관한 사항)	010-300200_법인계약 고객센터 상담 기준.docx-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 007-300138_라이프앱가능업무.docx-1.md, 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md
14	신한유니버설종신보험에서 사망시 사망보험금은 어떻게 산출됩니까?	신한유니버설종신보험에서 사망 시 지급되는 사망보험금은 기본보험금액과 변동보험금액의 합계액으로 산출됩니다. 기본보험금액은 기본사망보험금, 이미 납입한 보험료, 계약자적립금의 110% 금액 중 가장 큰 금액으로 결정됩니다. 기본사망보험금은 보험가입금액에서 중도인출금액을 차감하고 추가납입보험료를 합산한 금액으로 산출되며, 보험가입금액을 최고한도로 합니다. 변동보험금액은 계약자적립금이 예정최저적립금을 초과하는 경우 그 차액을 기준으로 계산됩니다. (출처: 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1, 제15조 【 보험금액 】)	034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 018-대구고등법원 2005. 9. 27. 선고 2004나3957(본소),2004나3964(반소) 판결.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md
15	신한유니버설종신보험 해약환급금이 처음 가입시 제공한 해약환급금 예시표에 비하여 크게 떨어집니다.  이유가 무엇인가요?	제공된 문서에서는 신한유니버설종신보험의 해약환급금이 예시표와 다르게 산출되는 이유에 대한 구체적인 정보가 포함되어 있지 않습니다. 추가적인 자료가 필요합니다.	판매약관_신한큐브종합건강상해보험_230404.pdf.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md
16	신한유니버설종신보험에 가입하여 유지중입니다. 감액 이후에 이미납입한 보험료는 어떻게 산출하나요?	"신한유니버설종신보험에서 감액 이후의 ""이미 납입한 보험료""는 다음과 같은 방식으로 산출됩니다:  \n\n- **감액 이후의 이미 납입한 보험료** = 감액 직전 이미 납입한 보험료 × (감액 후 계약자적립금 ÷ 감액 전 계약자적립금)  \n\n이는 감액 직전의 이미 납입한 보험료를 기준으로 계약자적립금의 변동 비율을 적용하여 계산됩니다. 해당 내용은 약관 및 사업방법서에 명시되어 있습니다."	035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md
17	신한유니버설종신보험 해약환급금 신청하여 환급금이 발생하였으나 아직 청구하지 않은 상황입니다. 일정기간이 지나서 청구하는 경우 지급이자는 어떻게 계산이 되나요?	신한유니버설종신보험의 해약환급금을 일정 기간 후 청구하는 경우 지급이자는 다음과 같이 계산됩니다:  \n\n1. **해약환급금 지급사유 발생일의 다음날부터 보험금 청구일까지의 기간**:  \n   - 1년 이내: 공시이율의 50%  \n   - 1년 초과 기간: 1%  \n\n2. **해약환급금 청구일의 다음날부터 지급 기일까지의 기간**:  \n   - 공시이율 + 1%  \n\n3. **지급기일의 다음날부터 해약환급금 지급일까지의 기간**:  \n   - 보험계약대출이율  \n\n추가적으로, 지급이자는 연단위 복리로 일자 계산되며, 소멸시효가 완성된 이후에는 지급되지 않습니다. 또한, 계약자 등의 책임 있는 사유로 지급이 지연된 경우 해당 기간에 대한 이자는 지급되지 않을 수 있습니다.  \n(출처: 약관_(무)신한유니버설종신보험_060703~071102_7614.pdf, 부표 4)	034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md
18	신한유니버설종신보험 보험료 의무 납입기간 경과 이후에도 보험료 선납이 가능한가요? 만약에 가능하다면 선납가능한 보험료와 선납시 적용되는 이율을 알려주세요.	신한유니버설종신보험의 경우, 보험료 의무 납입기간 경과 이후에는 보험료 선납이 불가능합니다. 선납은 보험료 납입경과기간 2년(24회 납입) 이내에만 가능하며, 최대 23개월분까지 선납할 수 있습니다. (출처: 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1, 마. 선납보험료에 관한 사항)	029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md
19	연금보험 프리스타일에 가입하여 연금개시후 종신형 연금 보증지급기간 안에 피보험자가 사망하면 일시금 지급이 가능한가요?	연금보험 프리스타일의 약관에 따르면, 연금개시 후 종신형 연금의 보증지급기간(20년 또는 100세) 안에 피보험자가 사망할 경우, 보증지급기간까지의 미지급된 연금액을 연금지급일에 지급하거나, '보험료 및 책임준비금 산출방법서'에 따라 공시이율로 할인하여 일시금으로 지급할 수 있습니다. (출처: 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 주)1. 책임준비금)	009-300197_제지급_우편.docx-1.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md
20	연금보험 프리스타일은 생존연금액 계산시 이율은 얼마인가요?	연금보험 프리스타일의 생존연금액 계산 시 적용되는 이율은 매월 1일 회사가 정한 공시이율로 하며, 최저보증이율은 가입 후 10년 이하의 경과기간에 대해 연복리 2.5%, 10년 초과의 경과기간에 대해 연복리 1%가 적용됩니다. (출처: 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1, 제19조)	037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 036-약관_무배당연금보험프리스타일_20050401.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md
21	연금보험 프리스타일에서 말하는 추가납입은 무엇을 의미하고 언제부터 추가납입이 가능하고 보험기간은 어떻게 되나요?	"프리스타일 연금보험에서 ""추가납입""은 보험료를 추가로 납입하는 것을 의미합니다. 2011년 4월 1일 이후 계약부터 기본보험료 증액은 불가능하며, 대신 월정기추가납입 또는 수시추가납입이 가능합니다. (출처: ""011-300227_계약사항 변경 업무기준 요약표.docx-1.md"", ""② 세부업무기준"")  \n\n보험기간에 대한 정보는 제공된 문서에서 확인되지 않았습니다."	011-300227_계약사항 변경 업무기준 요약표.docx-1.md
22	무)파워변액유니버설종신보험에서 자산을 운용함에 있어 일반계정과 특별계정으로 나누어서 관리한다고 하는데, 무슨뜻인가요?	무)파워변액유니버설종신보험에서 자산을 일반계정과 특별계정으로 나누어 관리한다는 것은, 계약자가 납입한 보험료를 두 가지 방식으로 관리한다는 의미입니다.\n\n1. **일반계정**: 계약자가 납입한 보험료를 회계 처리하기 위한 계정으로, 특별계정에 해당하지 않는 자산을 관리합니다. 일반적으로 생명보험 상품 대부분에서 사용되는 관리 방식입니다. (출처: 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf, [ 일반계정])\n\n2. **특별계정**: 계약자적립금의 전부 또는 일부를 기타 재산과 구별하여 운용하기 위한 계정으로, 변액보험과 같은 상품에서 사용됩니다. 특별계정은 계약자가 선택한 자산(펀드)으로 운용되며, 그 운용 실적에 따라 계약자에게 투자이익이 배분됩니다. 이 계정은 일반계정과 분리되어 독립적으로 운용됩니다. (출처: 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf, [ 특별계정], 제4관 특별계정에 관한 사항)\n\n따라서, 일반계정은 안정적인 관리 목적을, 특별계정은 투자 성과에 따라 변동하는 자산 운용을 목적으로 합니다.	038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md
23	무)파워변액유니버설종신보험 변액상품을 가입하였는데 펀드 설정이 귀찮습니다. 알아서 하는 방법은 없나요?	"무)파워변액유니버설종신보험에서 펀드 설정을 자동으로 관리하려면 ""펀드자동재배분"" 옵션을 활용할 수 있습니다. 이 옵션은 일정 주기마다 펀드별 계약자적립금을 고객이 선택한 펀드별 편입비율로 자동으로 재배분하는 기능입니다. 예를 들어, 3개월 주기로 A펀드 50%와 B펀드 50%를 선택하면, 매 3개월마다 계약자적립금 총액을 기준으로 A펀드와 B펀드에 각각 50%씩 배분됩니다. (출처: 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1, 펀드자동재배분)"	038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md
24	무)파워변액유니버설상품을 가입하였는데, 사망한 경우는 보험금을 주나요?	무배당 파워변액유니버설 상품의 약관에 따르면, 피보험자가 사망한 경우 보험회사는 보험수익자에게 약정된 사망보험금을 지급합니다. (출처: 026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf, 5. 보험금)	026-무배당파워변액유니버설종신보험_약관_100401_주계약_변경.pdf-1.md, 004-000.주계약약관_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.2.pdf-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md, 010-300200_법인계약 고객센터 상담 기준.docx-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 별첨2_분류표_20240401_v1.3.pdf.md, 037-약관_무배당연금보험프리스타일_20130401_v3.0.pdf-1.md, 021-대법원 2021. 2. 4. 선고 2017다281367 판결.pdf-1.md
25	신한THE착한연금미리받을수있는종신보험 현재 공제되는 위험보험료를 알려주세요	제공된 문서들에는 신한THE착한연금미리받을수있는종신보험의 현재 공제되는 위험보험료에 대한 정보가 포함되어 있지 않습니다. 추가적인 정보를 확인하려면 관련된 약관이나 상세 자료를 참조해야 합니다.	029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 009-300197_제지급_우편.docx-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 035-약관_(무)신한유니버설종신보험_080312.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md
26	신한THE착한연금미리받을수있는종신보험에서 보험료 납입기간 중에 해지하면 환급금이 적은데 이유가 뭔가요?	신한THE착한연금미리받을수있는종신보험에서 보험료 납입기간 중 해지 시 환급금이 적은 이유는 납입한 보험료 중 일부가 위험보장을 위한 보험료, 계약체결비용 및 계약관리비용으로 차감된 후 운용 및 적립되기 때문입니다. 또한, 해지 시에는 적립금에서 이미 지출된 계약체결비용 해당액이 추가로 차감됩니다. 특히 저해지환급형(50%형 및 70%형)의 경우, 보험료 납입기간 중 해지 시 일반형(100%형) 해지환급금의 각각 50% 또는 70%만 환급되도록 설계되어 있습니다. 보험료 납입기간이 완료된 이후에는 일반형(100%형) 해지환급금과 동일하게 지급됩니다. (출처: 약관 및 사업방법서)	032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 003-000.산출방법서_(355간편)신한통합건강보장보험원(ONE)(무배당, 해약환급금 미지급형)_20240101_v0.1.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md
27	신한THE착한연금미리받을수있는종신보험 보험료 납입하다가 연금으로 전환이 되는것으로 아는데 연금전환하면 전환 후의 약관 및 요율을 적용하는거 맞지요?	신한THE착한연금미리받을수있는종신보험에서 연금으로 전환 시, 전환 전 계약 가입 시의 약관 및 기초율(위험률, 계약관리비용)을 기준으로 연금액을 계산하여 지급합니다. 다만, 종신연금형의 경우 연금전환 시 연금생명표 개정 등에 따라 전환 당시 연금생명표를 기준으로 계산한 연금액이 더 큰 경우에는 전환 당시의 연금생명표를 기준으로 연금액을 산출하여 지급합니다. 이와 관련하여 연금액 변동내역 및 연금지급형태 선택방법 등은 계약자가 연금전환을 신청할 때 안내됩니다. (출처: 약관 및 사업방법서 관련 섹션)	032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 판매약관_신한큐브종합건강상해보험_230404.pdf.md, 판매약관_신한큐브종합건강상해보험(무배당_해약환급금_미지급형)_230404.pdf.md
28	무배당 종신보험 표준형 15년납 2006년에 가입하여, 완납된 상태입니다. 이후에도 공제되는 사업비가 있나요?	"무배당 종신보험 표준형 15년납 상품의 경우, 보험료 완납 후에도 매년 보험가입금액에 대해 계약관리비용으로 0.25/1,000이 공제됩니다. 이는 ""001-(무)종신보험표준형_20210101_산출방법서"" 문서의 ""나. 비일시납"" 섹션에서 확인된 내용입니다."	023-무배당종신보험_사업방법서_060401.doc-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 001-(무)종신보험표준형_20210101_산출방법서.doc-1.md, 038-약관_신한진심을품은변액유니버설종신보험(무배당)_20220401_v1.0.pdf-1.md, 024-무배당종신보험표준형_산출방법서_060401.doc-1.md
29	무배당 종신보험 표준형으로 현재 실효가 된 상태입니다. 부활시 부활이자는 어떻게 되나요?	제공된 문서들에서는 무배당 종신보험 표준형의 부활 시 부활이자 계산 방법에 대한 구체적인 내용이 확인되지 않습니다. 추가적인 정보가 필요합니다.	002-(무)종신보험표준형_20210101_약관.pdf-1.md, 023-무배당종신보험_사업방법서_060401.doc-1.md, 024-무배당종신보험표준형_산출방법서_060401.doc-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md
30	무배당 종신보험 표준형 가입한 고객입니다. 선납시 보험료 할인이 있나요?	무배당 종신보험 표준형의 경우, 3개월분 이상의 보험료를 선납할 때 할인율은 예정이율로 적용됩니다. (출처: 023-무배당종신보험_사업방법서_060401.doc-1.md, 보험료 할인 > 보험료선납)	023-무배당종신보험_사업방법서_060401.doc-1.md, 002-(무)종신보험표준형_20210101_약관.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 029-사업방법서_(무)신한유니버설종신보험_080312.pdf-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md
31	신한진심을품은변액유니버설종신을 연금으로 전환시 연금액은 어떻게 산출이 되나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	032-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_약관_161004.pdf-1.md, 031-신한THE착한연금미리받을수있는종신보험(무배당, 저해지환급형)_사업방법서_161004.pdf-1.md, 033-약관_(무)S-MORE신한저축보험_110601.pdf-1.md, 011-300227_계약사항 변경 업무기준 요약표.docx-1.md, 034-약관_(무)신한유니버설종신보험_060703~071102_7614.pdf-1.md
