no	Question	Response	Context
11	신한유니버설종신보험 현재 납입하는 보험료가 부담됩니다.  보험료를 적게 낼 수 있는 방법이 있나요?	신한유니버설종신보험의 약관에 따르면, 보험료 납입 경과 기간이 2년(24회 납입) 이후부터는 해약환급금에서 월대체보험료를 충당할 수 있을 경우 기본보험료를 납입하지 않아도 됩니다. 또한, 보험료를 추가로 납입하거나 계약자적립금을 인출하는 방법도 고려할 수 있습니다. 이 외에 보험가입금액을 감액하여 보험료를 줄이는 방법도 약관에서 언급되어 있습니다. 이러한 옵션들은 약관에 명시된 조건에 따라 적용되므로, 구체적인 상황에 대해 보험사와 상담하시기를 권장합니다.  \n\n출처: 약관_(무)신한유니버설종신보험_080312.pdf	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
12	신한유니버설종신보험 가입후 월대체로 계약을 유지하는데 보장은 종신까지 받을 수 있나요?	신한유니버설종신보험 약관에 따르면, 보험료 납입 경과 기간 2년(24회 납입) 이후에는 해약환급금에서 월대체보험료를 공제하여 계약을 유지할 수 있습니다. 이 경우 계약이 유지되는 동안 종신까지 보장을 받을 수 있는 것으로 보입니다. 다만, 해약환급금이 부족하여 월대체보험료를 충당할 수 없게 되면 계약이 해지될 수 있으므로, 해약환급금 상태를 지속적으로 확인하는 것이 중요합니다. (출처: 약관_(무)신한유니버설종신보험_080312.pdf)	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
13	신한유니버설종신보험 주계약보험료를 처음에는 20만원 내다가 나중에 더 적게 낼 수 있나요?	신한유니버설종신보험 약관에 따르면, 보험료 납입경과기간 2년(24회 납입) 이후에는 해약환급금에서 월대체보험료를 충당할 수 있을 경우 기본보험료를 납입하지 않을 수도 있습니다. 따라서 처음에 20만 원을 납입하다가 이후에 보험료를 줄이는 것이 가능할 수 있습니다. 다만, 구체적인 조건과 절차는 약관에 명시된 내용을 따라야 하므로, 추가적인 확인이 필요합니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
14	신한유니버설종신보험에서 사망시 사망보험금은 어떻게 산출됩니까?	신한유니버설종신보험에서 사망 시 지급되는 사망보험금은 기본보험금액과 변동보험금액의 합계로 산출됩니다. 기본보험금액은 기본사망보험금, 이미 납입한 보험료(특약보험료 제외), 계약자적립금의 110% 금액 중 가장 큰 금액으로 정의됩니다. 변동보험금액은 계약자적립금과 예정최저적립금의 차이에 따라 증감되며, 매월 계산되어 1개월간 확정 적용됩니다. (출처: 약관_(무)신한유니버설종신보험_080312.pdf)	300233_계약관계자변경.docx, 약관_(무)신한유니버설종신보험_080312.pdf
15	신한유니버설종신보험 해약환급금이 처음 가입시 제공한 해약환급금 예시표에 비하여 크게 떨어집니다.  이유가 무엇인가요?	신한유니버설종신보험의 해약환급금이 가입 시 제공된 해약환급금 예시표보다 낮아진 이유는 다음과 같은 요인들 때문일 수 있습니다:\n\n1. **공시이율의 변동**: 해약환급금은 보험료 및 책임준비금 산출방법서에 따라 계산되며, 공시이율이 변경될 경우 변경된 공시이율이 적용됩니다. 따라서 공시이율이 낮아지면 해약환급금도 감소할 수 있습니다. (출처: 약관 제21조)\n\n2. **월대체보험료 공제**: 보험료 납입경과기간 2년 이후에는 매월 계약해당일에 해약환급금에서 월대체보험료가 공제됩니다. 이로 인해 해약환급금이 감소할 수 있습니다. (출처: 약관 제12조)\n\n3. **중도인출 및 감액**: 계약자적립금의 중도인출이나 보험가입금액의 감액이 발생한 경우, 해약환급금이 감소할 수 있습니다. (출처: 약관 제6조, 제35조)\n\n4. **보험계약대출**: 해약환급금에서 보험계약대출 원리금이 차감된 경우, 실제 지급 가능한 해약환급금이 줄어들 수 있습니다. (출처: 약관 제36조)\n\n따라서 해약환급금이 예시표보다 낮아진 이유는 위와 같은 조건들에 따라 달라질 수 있습니다. 계약의 구체적인 상황을 확인해보는 것이 필요합니다.	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
16	신한유니버설종신보험에 가입하여 유지중입니다. 감액 이후에 이미납입한 보험료는 어떻게 산출하나요?	"신한유니버설종신보험 약관에 따르면, 보험가입금액을 감액한 경우 감액 이후의 ""이미 납입한 보험료""는 다음과 같이 산출됩니다:  \n\n감액 이후의 이미 납입한 보험료 = 감액 직전 이미 납입한 보험료 × (감액 후 계약자적립금 ÷ 감액 전 계약자적립금)  \n\n여기서 ""감액 직전 이미 납입한 보험료""는 해당 감액 전 중도인출 및 감액이 발생한 경우 약관 제6조(계약내용의 변경) 제3항 및 관련 방법에 따라 계산된 보험료를 의미합니다.  \n\n출처: 약관_(무)신한유니버설종신보험_080312.pdf"	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
17	신한유니버설종신보험 해약환급금 신청하여 환급금이 발생하였으나 아직 청구하지 않은 상황입니다. 일정기간이 지나서 청구하는 경우 지급이자는 어떻게 계산이 되나요?	신한유니버설종신보험의 해약환급금 지급이자는 다음과 같이 계산됩니다:\n\n1. **해약환급금 지급사유 발생일의 다음날부터 청구일까지의 기간**  \n   - 1년 이내: 공시이율의 50%  \n   - 1년 초과 기간: 1%  \n\n2. **해약환급금 청구일의 다음날부터 지급일까지의 기간**  \n   - 공시이율 + 1%  \n\n3. **지급기일의 다음날부터 해약환급금 지급일까지의 기간**  \n   - 보험계약대출이율  \n\n지급이자는 연단위 복리로 일자 계산되며, 소멸시효(2년)가 완성된 이후에는 지급되지 않습니다. 또한, 계약자 등의 책임 있는 사유로 지급이 지연된 경우 해당 기간에 대한 이자는 지급되지 않을 수 있습니다.  \n(출처: 약관_(무)신한유니버설종신보험_080312.pdf)	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
18	신한유니버설종신보험 보험료 의무 납입기간 경과 이후에도 보험료 선납이 가능한가요? 만약에 가능하다면 선납가능한 보험료와 선납시 적용되는 이율을 알려주세요.	제공된 문서 내용에서는 신한유니버설종신보험의 보험료 의무 납입기간 경과 이후에도 보험료 선납이 가능한지 여부와 선납 가능한 보험료 및 선납 시 적용되는 이율에 대한 정보가 명확히 제시되어 있지 않습니다. 추가적인 정보가 필요합니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
19	연금보험 프리스타일에 가입하여 연금개시후 종신형 연금 보증지급기간 안에 피보험자가 사망하면 일시금 지급이 가능한가요?	제공된 문서 내용에서는 연금보험 프리스타일의 종신형 연금 보증지급기간 중 피보험자 사망 시 일시금 지급 가능 여부에 대한 명확한 정보가 없습니다. 추가적인 자료가 필요합니다.	300233_계약관계자변경.docx, 약관_(무)신한유니버설종신보험_080312.pdf
20	연금보험 프리스타일은 생존연금액 계산시 이율은 얼마인가요?	"제공된 문서들에서는 ""연금보험 프리스타일""의 생존연금액 계산 시 적용되는 이율에 대한 정보가 명시적으로 포함되어 있지 않습니다. 추가적인 정보나 관련 문서가 필요합니다."	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx, 약관_(무)신한유니버설종신보험_080312.pdf
21	연금보험 프리스타일에서 말하는 추가납입은 무엇을 의미하고 언제부터 추가납입이 가능하고 보험기간은 어떻게 되나요?	제공된 컨텍스트에서는 연금보험 프리스타일에서 추가납입의 의미, 추가납입 가능 시점, 보험기간에 대한 명확한 정보가 확인되지 않습니다. 추가 정보를 제공해 주시면 답변을 드릴 수 있습니다.	300233_계약관계자변경.docx, 약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
22	무)파워변액유니버설종신보험에서 자산을 운용함에 있어 일반계정과 특별계정으로 나누어서 관리한다고 하는데, 무슨뜻인가요?	"제공된 문서 내용에서는 ""(무)파워변액유니버설종신보험""의 자산 운용 방식에서 일반계정과 특별계정으로 나누어 관리하는 의미에 대한 구체적인 설명이 포함되어 있지 않습니다. 추가적인 정보가 필요합니다."	약관_(무)신한유니버설종신보험_080312.pdf
23	무)파워변액유니버설종신보험 변액상품을 가입하였는데 펀드 설정이 귀찮습니다. 알아서 하는 방법은 없나요?	제공된 문서 내용에서는 무)파워변액유니버설종신보험의 펀드 설정을 자동으로 관리하는 방법에 대한 정보가 포함되어 있지 않습니다. 추가적인 정보를 확인해야 정확한 답변이 가능합니다.	약관_(무)신한유니버설종신보험_080312.pdf
24	무)파워변액유니버설상품을 가입하였는데, 사망한 경우는 보험금을 주나요?	(무)파워변액유니버설상품의 약관에 따르면, 보험대상자(피보험자)가 사망한 경우 사망보험금이 지급됩니다. 사망보험금 지급은 약관 제16조(보험금의 종류 및 지급사유)에 명시되어 있으며, 보험기간 중 사망이 확인된 경우 지급됩니다. 다만, 특정 조건이나 예외 사항이 있을 수 있으므로 자세한 내용은 약관을 확인하시기 바랍니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
25	신한THE착한연금미리받을수있는종신보험 현재 공제되는 위험보험료를 알려주세요	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
26	신한THE착한연금미리받을수있는종신보험에서 보험료 납입기간 중에 해지하면 환급금이 적은데 이유가 뭔가요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
27	신한THE착한연금미리받을수있는종신보험 보험료 납입하다가 연금으로 전환이 되는것으로 아는데 연금전환하면 전환 후의 약관 및 요율을 적용하는거 맞지요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
28	무배당 종신보험 표준형 15년납 2006년에 가입하여, 완납된 상태입니다. 이후에도 공제되는 사업비가 있나요?	제공된 컨텍스트에서는 무배당 종신보험 표준형의 완납 후에도 사업비가 공제되는지 여부에 대한 명확한 정보를 확인할 수 없습니다. 추가적인 관련 문서나 정보가 필요합니다.	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx, 약관_(무)신한유니버설종신보험_080312.pdf
29	무배당 종신보험 표준형으로 현재 실효가 된 상태입니다. 부활시 부활이자는 어떻게 되나요?	무배당 종신보험 표준형이 실효된 상태에서 부활 시, 부활이자는 다음과 같이 계산됩니다:  \n\n1. 기본보험료 납입경과기간이 2년(24회 납입) 이내인 경우: 연체된 기본보험료(특약이 부가된 경우 특약보험료 포함)에 공시이율로 계산한 연체이자를 더한 금액을 납입해야 합니다.  \n2. 기본보험료 납입경과기간이 2년(24회 납입) 이후인 경우: 해약환급금에서 월대체보험료를 충당하지 못한 날부터 부활(효력회복)을 청약한 날까지의 개월수를 곱한 금액과 기본보험료 총액(특약이 부가된 경우 특약보험료 포함)에서 이미 납입한 기본보험료를 차감한 금액 중 작은 금액에 공시이율로 계산한 연체이자를 더한 금액을 납입해야 합니다.  \n\n출처: 약관_(무)신한유니버설종신보험_080312.pdf	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
30	무배당 종신보험 표준형 가입한 고객입니다. 선납시 보험료 할인이 있나요?	제공된 문서들에서는 무배당 종신보험 표준형의 선납 보험료 할인 여부에 대한 정보가 명시적으로 포함되어 있지 않습니다. 추가적인 정보를 확인해야 정확한 답변이 가능합니다.	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 약관_(무)신한유니버설종신보험_080312.pdf
31	신한진심을품은변액유니버설종신을 연금으로 전환시 연금액은 어떻게 산출이 되나요?	"제공된 문서 내용에서는 ""신한진심을품은변액유니버설종신"" 보험을 연금으로 전환할 때 연금액 산출 방식에 대한 구체적인 정보가 포함되어 있지 않습니다. 추가적인 자료가 필요합니다."	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx, 약관_(무)신한유니버설종신보험_080312.pdf
32	신한진심을품은변액유니버설종신에서 중도인출시 언제 지급되나요?	"제공된 문서에서는 ""신한진심을품은변액유니버설종신""의 중도인출 시 지급 시점에 대한 명확한 정보가 없습니다. 추가적인 세부 정보가 필요합니다."	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx
33	신한진심을품은변액유니버설종신에서 의무납입기간 2년이후 보험료 납입을 하지 않을경우 공제되는 보험료는 어떻게 되나요?	신한진심을품은변액유니버설종신보험에서 의무납입기간 2년(24회 납입) 이후 보험료를 납입하지 않을 경우, 매월 계약해당일에 해약환급금(보험계약대출원리금을 차감한 금액 기준)에서 월대체보험료를 공제합니다. 이는 약관에 명시된 내용입니다.	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx
34	S-MORE신한저축보험에서 납입일시중지를 신청하면 빠지는 보험료가 있나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx
35	S-MORE신한저축보험 적립액 인출시 조건이 어떻게 되나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx
36	S-MORE신한저축보험 가입하고 사망보험금을 수령하지 않은 상태입니다. 이자는 계속 발생하는지요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
37	신한큐브종합건강상해보험 가입후 주피보험자 사망할 경우 주계약 보장내용알려주세요. 그리고 주피 장해시 납입면제 기준은 무엇인가요?	제공된 문서 내용에서는 신한큐브종합건강상해보험의 주계약 보장 내용이나 주피보험자 장해 시 납입면제 기준에 대한 구체적인 정보가 포함되어 있지 않습니다. 추가적인 자료가 필요합니다.	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
38	신한큐브종합건강상해보험 가입했는데 6년 유지하다가 해지하게되면 어떻게되는지 해약환급금 기준이랑 산출식, 산출근거는 어떻게 되나요?	신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)은 해약환급금 미지급형 상품으로, 제공된 문서에 따르면 해약환급금 산출 기준 및 산출식에 대한 명확한 정보는 확인되지 않습니다. 또한, 해당 상품은 해약환급금 지급이 없는 형태로 설계된 것으로 보입니다. 추가적인 세부 정보는 문서에서 제공되지 않았습니다.	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
39	신한유니버설종신보험 중도인출 가능금액기준과  추후 중도인출시 사망보험금이 줄어드는지 문의드립니다.	신한유니버설종신보험의 중도인출 가능 금액 기준은 다음과 같습니다. 계약자는 보험료 납입경과기간 2년(24회 납입) 이후부터 해약환급금(보험계약대출원리금을 차감한 금액 기준)의 50% 범위 내에서 계약자적립금을 인출할 수 있습니다. 단, 계약자적립금의 인출로 인해 장래의 월대체보험료를 충당할 수 없는 경우에는 인출이 불가능합니다. 또한, 총 인출금액은 계약자가 실제 납입한 기본보험료 총액을 초과할 수 없습니다.  \n\n중도인출 시 사망보험금은 감소합니다. 기본사망보험금은 보험가입금액에서 중도인출금액을 차감하고 추가납입보험료를 합산한 금액으로 계산되기 때문에, 중도인출을 하면 그 금액만큼 사망보험금이 줄어듭니다.  \n\n출처: 약관_(무)신한유니버설종신보험_080312.pdf	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
40	(355간편)신한통합건강보장보험 원(ONE) 상품 가입 후 보험가입금액을 감액할 경우 감액 후의 해약환급금 산출식 및 근거를 알려주세요.	질문과 일치하는 상품 문맥을 찾지 못했습니다.	산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf, 300233_계약관계자변경.docx, 약관_(무)신한유니버설종신보험_080312.pdf
41	(355간편)신한통합건강보장보험 원(ONE) 보험에 가입하면 일정조건 시 주계약 납입보험료가 면제되는 것으로 알고 있는데 주계약 납입면제 조건 및 그 내용에 대해서 알려주세요	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
42	신한라이프놀라운종신보험 생활자금지급기간 중 피보험자 사망시 생활자금 지급은 어떻게 되나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	300233_계약관계자변경.docx, 약관_(무)신한유니버설종신보험_080312.pdf
43	신한라이프놀라운종신보험을 해약하려고 합니다. 해지환급금이 적은 이유를 알 수 있을까요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx, 산출방법서_신한큐브종합건강상해보험(무배당, 해약환급금 미지급형)_230404_v2.pdf
44	신한라이프놀라운종신보험 가입후 암보장개시일 전에 암이 발생하였습니다. 계약을 취소하지 않고, 보험료를 계속 납입하고 있는 상태입니다. 암보장을 다시 받을 수 있는 기간이 있나요?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
45	신한라이프놀라운종신보험 가입후 고객센터에서 계약이 실효되었다고 연락 받았습니다.  그래서 보장을 받으려면 부활을 해야 한다고 하는 데 부활을 하려면 어떻게 해야 합니까?	질문과 일치하는 상품 문맥을 찾지 못했습니다.	약관_(무)신한유니버설종신보험_080312.pdf, 300233_계약관계자변경.docx
